movie_name,year,genre,description
Arachnophobia,1990,"Comedy, Horror, Thriller",A species of South American killer spider hitches a lift to the U.S. in a coffin and starts to breed and kill.
Tharangam,2017,"Action, Comedy",The misadventures of two bumbling cops. Featuring a cast of colorful characters each with their own agenda.
Fiends on the Run,2017,"Comedy, Horror, Thriller","A trio of nomadic cannibals face the wrath of Lloyd, who is seeking revenge for the death of his friend at their hands."
The Phantom of the Air,1933,"Action, Adventure","After inventing an anti-gravity device, scientist Thomas Edmonds and his daughter Mary attend the National Air Races in Cleveland, Ohio in search of a pilot to demonstrate the device and Bob Raymond, from the U.S. Border Patrol, is chosen."
Supercop,1992,"Action, Comedy, Crime",A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.
Since You Went Away,1944,"Drama, Romance, War","With her husband away to fight in World War II, a housewife must care for their two daughters alone."
O Capitão Bandeira Contra o Dr. Moura Brasil,1971,"Comedy, Thriller","Successful manager is haunted by a sinister character who enters his dreams, Dr. Moura Brasil."
Nevermind the Knife,2022,"Drama, Thriller",A young woman on the run is determined to make the world a better place - even if it kills her.
Wide Awake,1998,"Comedy, Drama, Family",A 10-year-old boy goes on a search for God after his grandfather dies.
Ro(c)k podvratáku,2006,"Comedy, Crime","Group of young rock boys need money for their performing. Soo, they decide to rob big drug boss. Czech comedy."
Krack,2021,"Action, Crime, Thriller","Krack is an action film which follows Veera Shankar, a hot headed police sergeant, who forms a vicious rivalry with notorious crime figure, Katari Krishna."
Banana Joe,1982,"Action, Comedy","A man is living happily on an island with his family, growing bananas. When a local mobster with an eye on man's property tries to take it from him, he must go to the town for the first time to get some help."
Rogue Trader,1999,"Crime, Drama, History","The story of Nick Leeson, an ambitious investment broker who singlehandedly bankrupted one of the oldest and most important banks in Britain."
Burnt In,1920,Crime,A potter's confession to killing his brother gets turned into a vase beneath which it was hidden.
Floodtide,1949,"Drama, Romance",David Shields decides to become a ship designer instead of following the family tradition and entering farming.
The Yesterday's Shadows,2011,Horror,"Hamid, a rich car salesman from Kabul is plagued by nightmares. Are these just figments of his imagination or is he hiding some dark secrets from his past? Secrets clawing to get out..."
Alibi Ike,1935,"Comedy, Family, Romance","Idiosyncratic new recruit Francis ""Ike"" Farrell tries to help the Cubs to the pennant with his pitching and hitting."
Thrilling,1965,"Comedy, Mystery, Thriller",An anthology film / black comedy about three ordinary men who become involved in violent crimes.
Hide and Never Seek,2016,Horror,A broadcaster of live horror themed streams receives a video which contains a female high school student disappearing right after she was calling a ghost while playing hide and (go) seek alone. He then goes to investigate.
Mo deng ya men,1983,"Action, Comedy",Buddy cops Porky and Big Mouth are promoted to the anti-prostitution division after solving a robbery case.
A Fish Tale,2000,"Animation, Adventure, Comedy","Three children accidentally get turned into fish after drinking a potion made by an eccentric scientist. When the kids end up in the sea, they must find the antidote within 48 hours or remain as fish forever."
Monster,2019,"Crime, Drama","After losing his innocence, his best friend, and the love of his adolescence, this coming-of-age gangster drama follows Harman in an hour of his night within a new life of violence."
Yo el ejecutor,1987,"Action, Crime, Drama","After a failed mission mercenary known as 'The Executioner', is forced to take one more case when his sister is kidnapped and raped as an attempt to get to him. He then wages a one-man war against the mob with his execution style."
Silent Mist,2017,Thriller,"In a small canal town, a rapist lurks in the shadows. A schoolgirl, a young woman and a young couple, all seem unable to cope with both the visible and the hidden dangers they all face from their morally corrupted compatriots."
Portrait of My Love,1965,"Romance, Drama",The love story of the year; the love team of all time.
Pagan Peak VR,2019,"Horror, Thriller",A journey to the darkest corners of the human mind.
Bed & Breakfast: Love is a Happy Accident,2010,"Comedy, Romance","Jake's as good as divorced. He opens a B&B in the California wine district. Meanwhile, hardworking, cute, unwed Ana in Rio inherits debt and that property and must sell so she travels to the B&B."
